,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,day_of_the_year
0,32,admin.,divorced,secondary,yes,-18,yes,no,unknown,155,3,-1,0,unknown,0,133
1,34,technician,single,tertiary,no,144,yes,yes,cellular,104,1,85,19,failure,0,288
2,44,management,divorced,tertiary,no,0,no,no,cellular,54,2,-1,0,unknown,0,235
3,34,blue-collar,married,secondary,no,8309,yes,yes,cellular,50,1,-1,0,unknown,0,324
4,51,blue-collar,married,primary,no,5050,no,yes,unknown,75,7,-1,0,unknown,0,168
5,34,technician,single,secondary,no,0,yes,yes,unknown,214,1,-1,0,unknown,0,137
6,46,technician,single,secondary,no,834,yes,no,cellular,196,2,-1,0,unknown,0,193
7,38,admin.,married,secondary,no,424,yes,no,cellular,279,1,-1,0,unknown,0,108
8,43,blue-collar,married,secondary,no,105,no,yes,cellular,668,2,-1,0,unknown,0,186
9,35,technician,single,secondary,no,5731,yes,no,cellular,164,2,167,4,other,0,125
10,74,retired,married,secondary,no,935,no,no,cellular,100,1,104,1,other,0,26
11,32,admin.,divorced,secondary,yes,5,yes,yes,cellular,82,3,363,2,other,0,139
12,31,admin.,single,secondary,no,2104,yes,no,unknown,455,1,-1,0,unknown,0,155
13,51,blue-collar,divorced,primary,no,-28,no,yes,unknown,220,2,-1,0,unknown,0,184
14,58,blue-collar,married,primary,no,73,no,no,unknown,116,1,-1,0,unknown,0,169
15,38,technician,married,secondary,no,1960,yes,no,cellular,161,2,-1,0,unknown,0,234
16,37,blue-collar,married,secondary,no,132,no,no,unknown,336,2,-1,0,unknown,0,148
17,57,management,married,tertiary,no,929,no,no,cellular,387,8,-1,0,unknown,0,232
18,34,services,married,secondary,no,0,no,yes,unknown,193,4,-1,0,unknown,0,184
19,49,self-employed,married,secondary,no,2576,yes,no,cellular,64,6,-1,0,unknown,0,136
20,45,technician,married,secondary,no,315,yes,no,cellular,103,1,-1,0,unknown,0,182
21,47,technician,married,secondary,no,-938,yes,no,unknown,176,2,-1,0,unknown,0,149
22,60,retired,married,primary,no,0,no,no,telephone,130,3,-1,0,unknown,0,212
23,35,services,divorced,secondary,no,221,yes,no,cellular,150,1,360,1,failure,0,135
24,42,admin.,divorced,secondary,no,63,no,no,unknown,88,6,-1,0,unknown,0,137
25,28,blue-collar,married,primary,no,60,yes,no,cellular,161,1,337,1,failure,0,127
26,28,admin.,married,secondary,no,-97,yes,no,cellular,79,1,225,2,success,0,29
27,35,blue-collar,married,secondary,no,6411,yes,yes,cellular,144,1,266,2,failure,0,30
28,35,technician,married,secondary,no,0,no,no,cellular,106,4,-1,0,unknown,0,240
29,55,blue-collar,married,secondary,no,471,yes,no,unknown,58,2,-1,0,unknown,0,151
30,29,management,single,tertiary,no,3357,no,no,cellular,120,3,-1,0,unknown,0,203
31,49,services,married,secondary,no,823,no,no,cellular,780,4,-1,0,unknown,1,221
32,42,housemaid,married,primary,no,83,no,yes,cellular,184,1,-1,0,unknown,0,220
33,50,management,married,tertiary,no,-470,yes,no,cellular,130,2,160,1,failure,0,324
34,33,management,single,tertiary,no,349,no,no,cellular,182,1,-1,0,unknown,0,235
35,26,management,single,tertiary,no,205,no,no,unknown,111,1,-1,0,unknown,0,147
36,34,blue-collar,married,secondary,no,7,yes,yes,cellular,171,2,193,2,other,0,33
37,51,technician,divorced,secondary,no,2323,yes,yes,cellular,151,10,-1,0,unknown,0,231
38,55,management,married,primary,no,621,no,yes,cellular,114,1,208,1,failure,0,33
39,34,unemployed,single,tertiary,no,415,no,no,cellular,123,1,-1,0,unknown,0,225
40,29,services,married,secondary,no,182,yes,no,telephone,38,3,-1,0,unknown,0,134
41,41,services,married,tertiary,no,412,yes,no,unknown,154,5,-1,0,unknown,0,155
42,33,blue-collar,married,secondary,no,-77,yes,no,cellular,151,3,-1,0,unknown,0,210
43,53,unemployed,married,secondary,no,94,no,no,cellular,493,1,181,14,success,1,223
44,26,blue-collar,single,primary,no,-887,yes,no,cellular,827,2,-1,0,unknown,1,139
45,49,blue-collar,married,primary,no,305,yes,yes,telephone,834,10,-1,0,unknown,0,192
46,50,management,married,secondary,yes,421,no,no,cellular,22,5,-1,0,unknown,0,325
47,45,technician,married,unknown,no,473,yes,no,unknown,147,1,-1,0,unknown,0,148
48,64,management,married,tertiary,no,679,no,no,telephone,135,3,-1,0,unknown,0,113
49,58,management,married,tertiary,no,541,yes,no,cellular,98,1,-1,0,unknown,0,129
50,52,unemployed,married,primary,no,-110,no,yes,cellular,141,1,-1,0,unknown,0,29
51,36,housemaid,married,secondary,no,419,yes,no,unknown,251,1,-1,0,unknown,0,151
52,59,management,married,secondary,no,42,no,no,cellular,40,1,-1,0,unknown,0,326
53,35,technician,married,secondary,no,2789,yes,no,cellular,256,2,94,1,failure,0,248
54,38,management,divorced,tertiary,no,4425,yes,no,unknown,162,1,-1,0,unknown,0,151
55,44,management,married,secondary,no,-1746,yes,no,unknown,218,1,-1,0,unknown,0,172
56,35,technician,married,tertiary,no,188,no,no,cellular,286,2,-1,0,unknown,0,239
57,36,blue-collar,married,secondary,no,63,yes,no,unknown,56,8,-1,0,unknown,0,154
58,60,retired,married,primary,no,71,no,no,cellular,121,3,-1,0,unknown,0,192
59,30,services,single,secondary,no,334,no,no,cellular,389,2,-1,0,unknown,0,29
60,34,technician,married,tertiary,no,1611,yes,no,cellular,490,2,-1,0,unknown,0,132
61,49,retired,married,primary,no,-37,no,no,unknown,191,2,-1,0,unknown,0,186
62,40,technician,married,secondary,no,1259,no,no,unknown,234,5,-1,0,unknown,0,141
63,35,technician,divorced,tertiary,no,4515,yes,no,cellular,98,2,-1,0,unknown,0,324
64,43,blue-collar,married,secondary,no,-179,yes,no,cellular,335,6,-1,0,unknown,0,212
65,37,blue-collar,married,secondary,no,67,no,no,unknown,45,2,-1,0,unknown,0,155
66,36,blue-collar,single,secondary,no,219,yes,yes,cellular,270,2,347,1,failure,0,132
67,30,services,single,secondary,no,0,yes,no,cellular,131,6,363,9,failure,0,139
68,44,technician,single,secondary,no,7138,no,no,cellular,809,2,-1,0,unknown,1,221
69,43,blue-collar,divorced,primary,no,92,yes,no,unknown,237,2,-1,0,unknown,0,136
70,44,technician,divorced,secondary,no,0,no,no,cellular,264,5,-1,0,unknown,0,210
71,32,technician,single,tertiary,no,2204,yes,no,cellular,11,4,-1,0,unknown,0,326
72,50,blue-collar,married,secondary,no,181,yes,no,cellular,599,2,-1,0,unknown,0,108
73,50,blue-collar,married,primary,no,1164,yes,no,unknown,166,2,-1,0,unknown,0,129
74,60,blue-collar,married,unknown,no,231,yes,no,unknown,57,2,-1,0,unknown,0,133
75,34,technician,married,secondary,no,50,no,no,cellular,106,3,-1,0,unknown,0,224
76,23,technician,single,secondary,no,598,no,no,cellular,166,1,-1,0,unknown,0,121
77,34,management,married,secondary,no,857,yes,no,cellular,238,6,-1,0,unknown,0,235
78,52,unemployed,married,primary,no,20,yes,no,telephone,172,1,-1,0,unknown,0,28
79,31,management,married,tertiary,no,1343,yes,yes,unknown,85,1,-1,0,unknown,0,142
80,43,technician,single,secondary,no,34,no,no,telephone,29,1,-1,0,unknown,0,212
81,34,management,married,tertiary,no,697,no,no,cellular,166,1,-1,0,unknown,0,218
82,23,student,single,secondary,no,9216,no,no,cellular,471,2,-1,0,unknown,0,157
83,36,management,married,primary,no,3953,yes,no,cellular,277,1,-1,0,unknown,0,324
84,40,management,married,tertiary,no,1734,yes,no,unknown,169,1,-1,0,unknown,0,154
85,26,technician,single,tertiary,no,75,yes,yes,unknown,351,1,-1,0,unknown,0,140
86,48,management,married,primary,no,247,yes,yes,unknown,145,1,-1,0,unknown,0,135
87,48,technician,married,secondary,no,568,yes,no,cellular,378,2,386,1,success,1,246
88,42,student,married,unknown,no,-7,no,no,telephone,41,6,-1,0,unknown,0,213
89,39,services,married,secondary,no,0,yes,no,unknown,793,2,-1,0,unknown,0,141
90,28,technician,single,secondary,no,3,no,no,telephone,40,8,349,6,failure,0,139
91,36,services,married,secondary,no,257,yes,no,cellular,86,2,-1,0,unknown,0,133
92,58,management,married,secondary,no,37,no,no,cellular,84,11,-1,0,unknown,0,231
93,55,management,married,tertiary,no,171,yes,no,cellular,73,6,-1,0,unknown,0,221
94,42,management,divorced,tertiary,no,0,no,no,unknown,131,2,-1,0,unknown,0,140
95,22,student,single,secondary,no,2488,no,no,cellular,449,2,38,10,other,1,313
96,46,admin.,married,primary,no,276,yes,yes,unknown,157,2,-1,0,unknown,0,127
97,60,technician,single,primary,no,11262,no,no,cellular,323,1,-1,0,unknown,1,239
98,35,technician,married,secondary,no,2,no,no,telephone,653,3,-1,0,unknown,0,28
99,35,services,single,secondary,no,414,yes,no,cellular,11,5,319,2,other,0,111
100,25,technician,single,tertiary,no,777,yes,no,unknown,351,1,-1,0,unknown,0,135
101,43,unknown,married,tertiary,no,1937,no,no,unknown,385,1,-1,0,unknown,0,171
102,40,management,single,unknown,no,838,yes,no,unknown,619,3,-1,0,unknown,0,133
103,49,retired,married,primary,no,1672,no,no,cellular,128,3,-1,0,unknown,0,199
104,32,technician,single,secondary,no,309,yes,yes,cellular,346,1,234,3,failure,0,107
105,21,student,single,unknown,no,137,yes,no,unknown,198,3,-1,0,unknown,0,133
106,39,technician,married,secondary,no,-735,yes,no,cellular,144,5,248,2,failure,0,30
107,38,housemaid,married,primary,no,21,no,no,cellular,634,2,-1,0,unknown,0,239
108,26,admin.,married,secondary,no,2469,no,no,cellular,136,8,-1,0,unknown,0,198
109,56,admin.,married,secondary,no,0,yes,no,telephone,154,2,-1,0,unknown,0,324
110,47,blue-collar,married,secondary,yes,-614,yes,no,unknown,118,2,-1,0,unknown,0,147
111,27,management,single,unknown,no,3196,no,no,cellular,10,2,-1,0,unknown,0,40
112,31,admin.,single,secondary,no,-449,yes,no,unknown,81,2,-1,0,unknown,0,149
113,33,technician,married,tertiary,no,-988,yes,yes,cellular,83,3,-1,0,unknown,0,197
114,38,blue-collar,married,secondary,no,361,yes,no,unknown,601,1,-1,0,unknown,0,163
115,36,services,married,secondary,no,895,yes,yes,unknown,622,1,-1,0,unknown,0,156
116,37,blue-collar,married,primary,no,3242,yes,no,unknown,233,1,-1,0,unknown,0,142
117,38,admin.,married,primary,no,3913,yes,no,cellular,196,2,315,2,failure,0,111
118,41,housemaid,single,secondary,no,231,no,no,cellular,76,2,-1,0,unknown,0,191
119,31,blue-collar,single,primary,no,-495,yes,no,unknown,334,2,-1,0,unknown,0,150
120,58,retired,married,unknown,no,937,no,no,cellular,155,1,-1,0,unknown,0,218
121,48,technician,married,unknown,no,5543,no,no,unknown,143,5,-1,0,unknown,0,168
