Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
2398,51,entrepreneur,married,secondary,yes,-2082,no,yes,cellular,28,jul,123,6,-1,0,unknown,no
800,50,management,married,tertiary,no,2881,no,no,cellular,5,aug,510,2,2,5,other,no
2288,50,technician,married,secondary,no,1412,no,no,cellular,6,aug,131,3,-1,0,unknown,no
2344,37,management,married,tertiary,no,0,yes,no,unknown,3,jun,247,13,-1,0,unknown,no
3615,31,admin.,single,secondary,no,757,no,no,cellular,3,feb,343,2,-1,0,unknown,no
3548,39,admin.,married,secondary,no,-650,no,no,cellular,15,may,123,2,364,1,failure,no
1115,41,admin.,married,secondary,no,5110,yes,no,cellular,13,apr,231,1,-1,0,unknown,no
4053,31,admin.,divorced,secondary,no,360,no,no,cellular,15,may,332,1,297,2,other,no
838,31,technician,single,tertiary,no,454,no,no,cellular,4,feb,73,3,-1,0,unknown,no
4141,37,management,married,tertiary,no,0,no,no,cellular,11,mar,129,4,107,2,failure,no
1189,34,technician,single,secondary,no,201,no,no,cellular,22,jul,257,2,-1,0,unknown,no
1461,38,technician,single,tertiary,no,0,yes,no,cellular,1,jun,71,1,-1,0,unknown,no
3819,46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,429,3,-1,0,unknown,yes
3614,71,retired,divorced,tertiary,no,261,no,no,cellular,12,aug,1117,2,-1,0,unknown,no
179,37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
4011,41,technician,married,secondary,no,1602,yes,no,cellular,2,jun,142,1,-1,0,unknown,no
4237,33,technician,single,secondary,no,2085,no,no,cellular,9,feb,501,2,-1,0,unknown,yes
1321,40,services,married,secondary,no,17,no,no,cellular,4,jun,78,1,-1,0,unknown,no
4018,26,technician,single,secondary,no,261,yes,no,unknown,27,may,371,2,-1,0,unknown,no
2174,35,services,married,secondary,no,819,yes,no,telephone,14,jul,102,14,-1,0,unknown,no
3134,47,self-employed,divorced,secondary,no,8515,yes,no,unknown,20,nov,14,7,112,4,other,no
1878,34,technician,single,secondary,no,1386,yes,yes,unknown,28,may,185,6,-1,0,unknown,no
1485,29,technician,single,secondary,no,113,no,no,cellular,12,feb,328,2,183,4,success,yes
3963,60,unknown,married,unknown,no,7337,no,no,cellular,4,aug,122,1,-1,0,unknown,no
937,33,blue-collar,married,secondary,no,86,yes,no,unknown,19,may,364,1,-1,0,unknown,no
2401,31,management,married,tertiary,no,1750,yes,no,telephone,14,may,90,3,-1,0,unknown,no
1876,26,blue-collar,single,primary,no,-887,yes,no,cellular,18,may,827,2,-1,0,unknown,yes
415,49,management,divorced,tertiary,no,755,no,no,cellular,31,jul,1212,4,-1,0,unknown,yes
1476,29,blue-collar,single,secondary,no,9,yes,no,cellular,11,may,262,3,-1,0,unknown,no
3471,46,blue-collar,married,primary,no,1291,yes,no,cellular,14,may,142,3,259,17,failure,no
2179,51,technician,married,tertiary,no,-3,no,no,cellular,25,aug,91,9,-1,0,unknown,no
2330,26,technician,single,secondary,no,7,yes,no,cellular,22,jul,188,2,-1,0,unknown,no
2754,34,blue-collar,married,secondary,no,247,yes,yes,unknown,26,may,193,5,-1,0,unknown,no
2792,32,blue-collar,married,secondary,no,478,yes,no,unknown,3,jun,200,1,-1,0,unknown,no
29,53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
1222,27,admin.,single,secondary,no,15,no,yes,cellular,21,jul,177,1,-1,0,unknown,no
199,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
3462,34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46,1,182,2,failure,no
1583,26,blue-collar,married,secondary,no,484,yes,no,unknown,19,may,48,2,-1,0,unknown,no
3541,37,entrepreneur,married,tertiary,no,310,no,no,cellular,1,sep,76,1,-1,0,unknown,no
3707,49,technician,single,secondary,no,-97,yes,no,unknown,6,jun,92,2,-1,0,unknown,no
3303,52,services,divorced,secondary,no,238,yes,no,cellular,6,may,101,1,362,5,other,no
1181,34,services,married,secondary,no,1076,no,no,cellular,12,may,152,1,182,6,success,yes
4077,31,blue-collar,divorced,secondary,no,6,yes,no,cellular,29,jan,821,1,-1,0,unknown,no
3964,39,management,single,secondary,no,835,yes,no,unknown,29,may,587,4,-1,0,unknown,no
2916,32,admin.,single,secondary,no,10218,yes,no,cellular,19,nov,149,2,-1,0,unknown,no
3214,41,blue-collar,married,primary,no,-204,yes,yes,unknown,6,jun,42,1,-1,0,unknown,no
1610,49,blue-collar,married,primary,no,1019,yes,no,cellular,16,apr,285,5,-1,0,unknown,no
2526,39,management,single,tertiary,no,0,yes,no,cellular,16,apr,81,2,-1,0,unknown,no
1902,34,technician,single,secondary,no,318,no,yes,cellular,25,jul,239,5,-1,0,unknown,no
2873,35,management,divorced,tertiary,no,160,yes,no,unknown,4,jun,141,6,-1,0,unknown,no
1345,40,management,divorced,tertiary,no,69,yes,no,cellular,6,may,503,2,280,2,failure,no
3298,27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,other,no
1020,42,technician,married,secondary,no,994,yes,no,cellular,11,aug,149,1,78,5,failure,yes
1632,41,technician,married,secondary,no,55,yes,no,cellular,6,aug,185,4,-1,0,unknown,no
4374,45,services,divorced,primary,no,3854,yes,no,unknown,20,jun,10,3,-1,0,unknown,no
2481,30,management,married,tertiary,no,931,no,no,cellular,17,jul,1183,1,-1,0,unknown,no
1659,34,services,single,secondary,no,84,yes,no,unknown,23,may,299,1,-1,0,unknown,no
497,34,technician,single,secondary,no,4943,yes,yes,cellular,19,nov,117,2,-1,0,unknown,no
2606,48,technician,married,unknown,no,5543,no,no,unknown,16,jun,143,5,-1,0,unknown,no
